iter	Passed	Remaining
0	1	135
1	2	143
2	4	152
3	6	152
4	8	155
5	10	157
6	11	157
7	13	160
8	15	160
9	17	159
10	19	161
11	21	160
12	23	159
13	25	158
14	27	157
15	29	156
16	31	154
17	33	153
18	35	151
19	37	149
20	39	147
21	41	145
22	43	145
23	45	145
24	48	144
25	50	143
26	52	143
27	55	141
28	57	140
29	59	138
30	61	136
31	62	133
32	65	132
33	66	129
34	69	128
35	71	126
36	73	124
37	74	122
38	76	120
39	78	118
40	80	115
41	81	112
42	83	110
43	85	108
44	87	106
45	89	104
46	91	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	101	90
53	103	88
54	104	85
55	106	83
56	108	81
57	110	79
58	112	77
59	114	76
60	115	74
61	117	72
62	119	70
63	121	68
64	123	66
65	124	64
66	126	62
67	128	60
68	130	58
69	132	56
70	134	55
71	136	53
72	138	51
73	140	49
74	142	47
75	144	45
76	146	43
77	148	41
78	150	39
79	152	38
80	154	36
81	156	34
82	158	32
83	159	30
84	161	28
85	163	26
86	165	24
87	167	22
88	169	20
89	172	19
90	174	17
91	177	15
92	179	13
93	181	11
94	183	9
95	185	7
96	187	5
97	189	3
98	191	1
99	193	0
