iter	Passed	Remaining
0	140	140052
1	143	71700
2	147	48895
3	151	37601
4	154	30844
5	157	26095
6	160	22710
7	162	20129
8	164	18070
9	165	16415
10	167	15065
11	169	13915
12	170	12926
13	171	12080
14	173	11369
15	175	10775
16	177	10239
17	178	9757
18	180	9343
19	183	9010
20	186	8690
21	189	8412
22	191	8138
23	194	7907
24	197	7691
25	199	7481
26	202	7309
27	205	7133
28	208	6987
29	212	6861
30	215	6741
31	218	6618
32	221	6498
33	224	6385
34	227	6283
35	231	6203
36	234	6104
37	237	6009
38	240	5930
39	243	5844
40	246	5771
41	249	5702
42	253	5630
43	255	5560
44	258	5491
45	261	5422
46	264	5371
47	268	5327
48	272	5290
49	277	5265
50	280	5217
51	283	5172
52	286	5112
53	290	5094
54	294	5059
55	297	5015
56	300	4967
57	303	4923
58	305	4878
59	308	4838
60	311	4796
61	314	4757
62	317	4728
63	320	4693
64	324	4666
65	328	4642
66	331	4616
67	334	4585
68	337	4560
69	341	4532
70	344	4505
71	347	4476
72	349	4442
73	352	4410
74	355	4381
75	360	4378
76	363	4351
77	366	4326
78	369	4304
79	372	4281
80	375	4256
81	378	4234
82	379	4193
83	382	4175
84	385	4154
85	388	4132
86	391	4109
87	394	4090
88	398	4076
89	401	4062
90	404	4044
91	408	4027
92	411	4011
93	414	3998
94	417	3981
95	420	3960
96	423	3939
97	426	3922
98	428	3902
99	431	3887
100	434	3869
101	437	3851
102	440	3835
103	443	3818
104	445	3799
105	449	3787
106	452	3774
107	455	3758
108	457	3742
109	460	3726
110	464	3722
111	467	3709
112	470	3694
113	473	3683
114	477	3672
115	479	3657
116	482	3638
117	485	3629
118	488	3620
119	492	3615
120	496	3606
121	498	3588
122	501	3577
123	505	3568
124	508	3557
125	511	3545
126	513	3529
127	516	3517
128	519	3507
129	522	3493
130	524	3480
131	527	3469
132	530	3458
133	533	3450
134	536	3440
135	539	3428
136	542	3416
137	545	3406
138	548	3397
139	551	3385
140	553	3374
141	556	3359
142	559	3350
143	562	3342
144	565	3333
145	567	3322
146	571	3315
147	574	3305
148	577	3296
149	580	3288
150	582	3277
151	586	3269
152	589	3261
153	591	3252
154	595	3245
155	598	3236
156	601	3228
157	604	3219
158	606	3210
159	610	3202
160	611	3187
161	614	3177
162	616	3167
163	619	3157
164	622	3150
165	625	3141
166	627	3132
167	630	3122
168	633	3112
169	635	3104
170	638	3097
171	642	3091
172	645	3084
173	648	3078
174	651	3071
175	654	3063
176	656	3054
177	659	3046
178	662	3038
179	665	3031
180	668	3023
181	671	3016
182	674	3009
183	677	3005
184	681	3002
185	684	2996
186	688	2991
187	690	2984
188	693	2976
189	697	2971
190	700	2966
191	703	2961
192	707	2956
193	710	2953
194	713	2946
195	716	2938
196	718	2930
197	721	2923
198	724	2915
199	727	2909
200	730	2903
201	733	2896
202	736	2890
203	739	2883
204	741	2876
205	744	2869
206	747	2863
207	750	2859
208	754	2853
209	757	2848
210	759	2841
211	762	2835
212	765	2828
213	769	2824
214	771	2817
215	775	2813
216	778	2807
217	781	2803
218	784	2796
219	787	2790
220	789	2784
221	793	2779
222	795	2773
223	798	2766
224	801	2761
225	803	2753
226	806	2747
227	809	2742
228	813	2739
229	816	2733
230	819	2728
231	822	2723
232	826	2719
233	829	2715
234	833	2712
235	836	2708
236	839	2703
237	842	2697
238	845	2693
239	849	2690
240	852	2685
241	856	2682
242	859	2678
243	863	2674
244	868	2675
245	872	2674
246	875	2668
247	878	2663
248	881	2660
249	885	2655
250	889	2653
251	892	2648
252	895	2645
253	899	2641
254	902	2637
255	905	2632
256	909	2628
257	913	2626
258	917	2623
259	921	2621
260	924	2618
261	928	2614
262	930	2608
263	933	2602
264	936	2596
265	939	2592
266	942	2587
267	945	2581
268	947	2575
269	950	2570
270	953	2565
271	957	2561
272	960	2556
273	963	2552
274	966	2546
275	969	2541
276	971	2536
277	974	2531
278	978	2529
279	981	2523
280	983	2517
281	986	2512
282	989	2507
283	992	2501
284	995	2496
285	997	2491
286	1000	2486
287	1003	2480
288	1005	2474
289	1008	2468
290	1011	2463
291	1013	2458
292	1016	2453
293	1020	2449
294	1022	2444
295	1025	2439
296	1028	2435
297	1031	2430
298	1034	2426
299	1037	2419
300	1039	2414
301	1042	2408
302	1045	2404
303	1048	2400
304	1051	2395
305	1055	2393
306	1058	2390
307	1061	2385
308	1065	2382
309	1067	2377
310	1071	2373
311	1073	2368
312	1076	2363
313	1079	2358
314	1082	2354
315	1085	2349
316	1088	2346
317	1091	2341
318	1095	2339
319	1099	2336
320	1102	2332
321	1105	2328
322	1108	2323
323	1111	2318
324	1114	2314
325	1117	2310
326	1120	2306
327	1123	2301
328	1126	2297
329	1129	2293
330	1132	2289
331	1135	2284
332	1139	2281
333	1142	2277
334	1145	2273
335	1148	2269
336	1151	2264
337	1153	2259
338	1156	2254
339	1159	2250
340	1162	2246
341	1165	2242
342	1167	2237
343	1171	2234
344	1174	2230
345	1177	2225
346	1180	2222
347	1184	2219
348	1187	2214
349	1191	2212
350	1195	2209
351	1199	2208
352	1202	2204
353	1206	2201
354	1209	2197
355	1211	2192
356	1214	2188
357	1218	2185
358	1222	2183
359	1226	2180
360	1229	2175
361	1232	2171
362	1235	2168
363	1238	2163
364	1241	2160
365	1245	2156
366	1248	2153
367	1252	2150
368	1255	2147
369	1259	2144
370	1261	2139
371	1264	2133
372	1266	2129
373	1269	2125
374	1272	2120
375	1274	2115
376	1277	2110
377	1280	2106
378	1282	2102
379	1285	2098
380	1288	2093
381	1291	2088
382	1293	2083
383	1295	2078
384	1298	2073
385	1300	2069
386	1303	2064
387	1305	2059
388	1308	2055
389	1311	2050
390	1313	2046
391	1316	2042
392	1319	2037
393	1321	2033
394	1324	2028
395	1326	2023
396	1329	2019
397	1332	2015
398	1335	2011
399	1338	2007
400	1341	2003
401	1344	1999
402	1347	1995
403	1350	1992
404	1354	1989
405	1357	1985
406	1360	1982
407	1362	1977
408	1365	1973
409	1368	1969
410	1371	1966
411	1374	1962
412	1378	1959
413	1382	1956
414	1385	1953
415	1388	1949
416	1392	1946
417	1394	1942
418	1398	1939
419	1400	1934
420	1404	1931
421	1407	1927
422	1410	1923
423	1413	1919
424	1416	1915
425	1418	1911
426	1421	1908
427	1424	1903
428	1427	1899
429	1429	1895
430	1432	1891
431	1435	1887
432	1438	1883
433	1441	1879
434	1443	1875
435	1446	1870
436	1449	1867
437	1451	1862
438	1454	1858
439	1457	1854
440	1459	1850
441	1462	1845
442	1464	1841
443	1467	1837
444	1469	1833
445	1472	1829
446	1474	1824
447	1477	1820
448	1480	1816
449	1483	1812
450	1485	1808
451	1488	1804
452	1490	1799
453	1492	1795
454	1495	1790
455	1497	1786
456	1499	1782
457	1502	1777
458	1504	1773
459	1507	1769
460	1509	1765
461	1512	1761
462	1514	1757
463	1517	1753
464	1520	1749
465	1523	1745
466	1525	1741
467	1528	1737
468	1530	1732
469	1533	1729
470	1535	1725
471	1538	1720
472	1541	1717
473	1543	1712
474	1545	1708
475	1547	1703
476	1550	1699
477	1552	1695
478	1554	1691
479	1557	1687
480	1560	1683
481	1562	1679
482	1564	1675
