iter	Passed	Remaining
0	89	89179
1	91	45516
2	93	31148
3	96	23977
4	99	19706
5	102	16925
6	104	14856
7	107	13373
8	110	12132
9	112	11179
10	115	10386
11	118	9756
12	121	9190
13	123	8683
14	127	8370
15	130	8026
16	133	7709
17	136	7449
18	139	7204
19	142	6970
20	145	6763
21	147	6560
22	150	6400
23	153	6231
24	156	6105
25	159	5965
26	162	5854
27	165	5728
28	167	5623
29	171	5534
30	174	5453
31	177	5373
32	180	5287
33	183	5206
34	186	5135
35	188	5055
36	191	4987
37	194	4917
38	196	4853
39	200	4803
40	203	4753
41	205	4686
42	208	4634
43	210	4581
44	213	4525
45	216	4480
46	218	4438
47	221	4399
48	224	4355
49	226	4310
50	229	4269
51	231	4227
52	234	4188
53	237	4153
54	239	4120
55	242	4086
56	244	4052
57	247	4025
58	250	4000
59	253	3976
60	256	3944
61	258	3915
62	261	3884
63	264	3873
64	267	3846
65	270	3831
66	273	3815
67	276	3794
68	279	3771
69	282	3748
70	284	3725
71	287	3702
72	289	3682
73	292	3659
74	295	3642
75	297	3622
76	300	3601
77	303	3581
78	305	3558
79	307	3537
80	310	3521
81	313	3506
82	314	3475
83	317	3459
84	319	3443
85	322	3428
86	324	3408
87	327	3391
88	329	3376
89	332	3363
90	335	3350
91	338	3340
92	341	3326
93	343	3315
94	347	3306
95	349	3294
96	352	3282
97	355	3268
98	358	3261
99	361	3251
100	364	3245
101	367	3235
102	370	3227
103	373	3218
104	376	3208
105	378	3194
106	381	3182
107	383	3169
108	386	3156
109	388	3146
110	391	3132
111	393	3120
112	396	3110
113	398	3099
114	402	3094
115	405	3086
116	407	3074
117	410	3067
118	413	3060
119	416	3053
120	419	3049
121	422	3039
122	425	3031
123	428	3026
124	430	3016
125	434	3012
126	436	3003
127	440	3000
128	442	2990
129	445	2984
130	448	2976
131	451	2971
132	454	2965
133	457	2957
134	460	2953
135	463	2943
136	466	2935
137	468	2926
138	471	2918
139	473	2910
140	476	2903
141	478	2892
142	481	2885
143	484	2878
144	487	2872
145	490	2867
146	493	2861
147	496	2856
148	498	2849
149	501	2842
150	504	2837
151	507	2833
152	510	2826
153	513	2821
154	516	2815
155	519	2810
156	522	2806
157	525	2800
158	528	2796
159	531	2790
160	533	2780
161	536	2774
162	539	2769
163	542	2764
164	545	2760
165	548	2757
166	552	2753
167	555	2750
168	559	2751
169	562	2748
170	566	2745
171	569	2740
172	572	2735
173	575	2729
174	578	2726
175	581	2721
176	584	2718
177	587	2714
178	590	2710
179	593	2705
180	596	2700
181	599	2694
182	602	2690
183	605	2685
184	608	2681
185	611	2677
186	614	2673
187	617	2669
188	621	2665
189	624	2660
190	627	2656
191	630	2651
192	633	2648
193	636	2644
194	639	2640
195	642	2636
196	645	2631
197	648	2627
198	651	2623
199	654	2619
200	657	2614
201	660	2610
202	663	2606
203	666	2600
204	668	2593
205	671	2588
206	674	2583
207	677	2578
208	679	2572
209	682	2566
210	684	2561
211	687	2555
212	690	2550
213	693	2545
214	696	2543
215	699	2538
216	702	2534
217	705	2530
218	708	2525
219	710	2518
220	712	2512
221	715	2507
222	717	2500
223	720	2495
224	722	2490
225	725	2485
226	728	2480
227	730	2474
228	733	2469
229	736	2465
230	738	2459
231	741	2453
232	743	2447
233	746	2442
234	748	2436
235	751	2431
236	753	2426
237	755	2419
238	758	2415
239	761	2410
240	763	2405
241	766	2401
242	769	2396
243	772	2392
244	774	2387
245	777	2383
246	780	2378
247	782	2373
248	785	2369
249	787	2363
250	790	2358
251	793	2353
252	795	2348
253	798	2344
254	800	2338
255	802	2333
256	805	2329
257	807	2323
258	810	2318
259	812	2313
260	814	2307
261	817	2303
262	820	2297
263	822	2293
264	825	2288
265	827	2282
266	829	2276
267	831	2270
268	833	2265
269	835	2259
270	837	2254
271	839	2247
272	841	2242
273	843	2236
274	846	2230
275	847	2224
276	850	2218
277	852	2212
278	854	2208
279	857	2204
280	860	2200
281	862	2196
282	865	2192
283	868	2188
284	870	2185
285	874	2181
286	876	2177
287	879	2174
288	882	2171
289	885	2167
290	887	2163
291	890	2158
292	893	2154
293	895	2150
294	898	2147
295	901	2142
296	903	2138
297	906	2134
298	908	2130
299	911	2126
300	914	2123
301	917	2119
302	919	2115
303	922	2111
304	924	2107
305	927	2103
306	929	2099
307	932	2094
308	934	2090
309	937	2087
310	940	2082
311	942	2078
312	945	2074
313	947	2070
314	950	2066
315	953	2063
316	956	2060
317	959	2057
318	962	2054
319	964	2050
320	967	2047
321	970	2043
322	973	2040
323	976	2036
324	978	2032
325	981	2028
326	983	2024
327	986	2020
328	988	2016
329	991	2013
330	993	2008
331	995	2003
332	998	2000
333	1001	1996
334	1003	1991
335	1005	1986
336	1007	1981
337	1009	1976
338	1012	1973
339	1014	1969
340	1018	1967
341	1020	1963
342	1022	1958
343	1025	1955
344	1028	1951
345	1031	1949
346	1033	1945
347	1036	1941
348	1038	1937
349	1041	1934
350	1044	1931
351	1047	1927
352	1049	1923
353	1051	1919
354	1054	1916
355	1057	1912
356	1060	1909
357	1063	1906
358	1066	1903
359	1069	1901
360	1072	1897
361	1075	1895
362	1078	1892
363	1081	1889
364	1084	1886
365	1088	1885
366	1092	1884
367	1095	1881
368	1099	1879
369	1102	1877
370	1106	1876
371	1111	1876
372	1114	1873
373	1116	1869
374	1119	1865
375	1121	1861
376	1124	1857
377	1126	1853
378	1128	1849
379	1131	1846
380	1134	1842
381	1137	1839
382	1139	1835
383	1142	1832
384	1144	1828
385	1146	1824
386	1149	1820
387	1151	1816
388	1153	1812
389	1156	1809
390	1159	1806
391	1162	1802
392	1164	1798
393	1166	1794
394	1169	1790
395	1171	1786
396	1175	1784
397	1177	1781
398	1180	1777
399	1183	1774
400	1186	1771
401	1189	1769
402	1192	1766
403	1194	1762
404	1196	1758
405	1199	1754
406	1201	1750
407	1203	1745
408	1205	1741
409	1207	1736
410	1208	1732
411	1210	1728
412	1212	1723
413	1214	1719
414	1216	1714
415	1218	1711
416	1221	1707
417	1223	1703
418	1225	1699
419	1227	1695
420	1229	1690
421	1231	1686
422	1233	1682
423	1235	1679
424	1238	1675
425	1240	1671
426	1243	1668
427	1246	1665
428	1248	1662
429	1251	1659
430	1254	1655
431	1256	1652
432	1259	1648
433	1261	1645
434	1263	1641
435	1265	1637
436	1267	1633
437	1270	1629
438	1271	1625
439	1273	1621
440	1275	1617
441	1277	1613
442	1279	1609
443	1282	1605
444	1284	1601
445	1286	1597
446	1288	1593
447	1290	1590
448	1292	1585
449	1294	1582
450	1296	1577
451	1298	1573
452	1300	1570
453	1302	1566
454	1305	1563
455	1307	1560
456	1310	1556
457	1312	1553
458	1314	1549
459	1316	1545
460	1318	1541
461	1320	1537
462	1322	1533
463	1324	1529
464	1326	1526
465	1328	1522
466	1330	1518
467	1332	1514
468	1334	1511
469	1336	1507
470	1338	1503
471	1340	1499
472	1342	1495
473	1344	1492
474	1346	1488
475	1348	1484
476	1350	1480
477	1352	1477
478	1354	1473
479	1356	1469
480	1358	1466
481	1360	1462
482	1362	1458
483	1365	1455
484	1367	1451
485	1369	1448
486	1372	1445
487	1374	1442
488	1377	1439
489	1380	1436
490	1382	1433
491	1385	1430
492	1388	1427
493	1390	1424
494	1393	1421
495	1396	1418
496	1398	1415
497	1401	1412
498	1404	1410
499	1407	1407
500	1410	1404
501	1413	1402
502	1416	1399
503	1419	1396
504	1421	1393
505	1424	1391
506	1427	1388
507	1431	1386
508	1434	1383
509	1437	1380
510	1440	1378
511	1443	1376
512	1447	1373
513	1452	1373
514	1456	1371
515	1460	1370
516	1464	1368
517	1469	1367
518	1473	1365
519	1477	1363
520	1481	1361
521	1484	1359
522	1487	1356
523	1491	1354
524	1494	1352
525	1497	1349
526	1499	1346
527	1502	1343
528	1505	1340
529	1508	1337
530	1510	1334
531	1513	1331
532	1516	1328
533	1518	1325
534	1521	1322
535	1523	1319
536	1526	1316
537	1529	1313
538	1532	1311
539	1535	1308
540	1539	1306
541	1541	1303
542	1544	1300
543	1547	1296
544	1549	1293
545	1553	1291
546	1556	1289
547	1559	1286
548	1563	1284
549	1566	1282
550	1569	1279
551	1572	1276
552	1575	1273
553	1578	1270
554	1580	1267
555	1583	1264
556	1585	1261
557	1589	1258
558	1591	1255
559	1595	1253
560	1598	1250
561	1601	1248
562	1604	1245
563	1607	1242
564	1609	1239
565	1612	1236
566	1615	1233
567	1618	1231
568	1621	1228
569	1625	1226
570	1628	1223
571	1631	1220
572	1634	1217
573	1637	1215
574	1640	1212
575	1643	1209
576	1646	1206
577	1648	1203
578	1652	1201
579	1655	1198
580	1658	1196
581	1661	1193
582	1665	1190
583	1668	1188
584	1671	1185
585	1675	1183
586	1678	1180
587	1681	1178
588	1684	1175
589	1686	1172
590	1690	1169
591	1693	1166
592	1696	1164
593	1699	1161
594	1702	1158
595	1705	1155
596	1708	1153
597	1710	1150
598	1714	1147
599	1716	1144
600	1719	1141
601	1721	1138
602	1724	1135
603	1727	1132
604	1729	1129
605	1733	1126
606	1735	1123
607	1739	1121
608	1741	1118
